"rid","binaryID"
1,"11111111112111111111111111"
2,"11111"
3,"111111111"
4,"111111111121111111111111"
5,"1111111111211111111111111"
6,"111111111121111111111111111"
7,"11"
8,"1111"
9,"111111"
10,"111112"
11,"1111111"
12,"11111111"
13,"1111111111"
14,"111111111111"
15,"11111111112111111111111"
16,"111"
17,"1111121"
18,"11111111111"
19,"11111111112"
20,"1111111111211111111111"
21,"1111111111211111111112"
22,"11111211"
23,"111111111121"
24,"111111111121111111111"
25,"111112111"
26,"1111111111211"
27,"11111111112111111111"
28,"11111111112111111112"
29,"111111111121111111121"
30,"11111111112111"
31,"1111111111211111111"
32,"1111111111211111111211"
33,"111111111121111"
34,"111111111121111111"
35,"11111111112111111112111"
36,"1111111111211111"
37,"1111111111211112"
38,"11111111112111111"
39,"111111111121111111121111"
40,"111111111121111111121111111"
41,"11111111112111121"
42,"1111111111211111111211111"
43,"1111111111211111111211112"
44,"11111111112111111112111111"
45,"111111111121111211"
46,"111111111121111212"
47,"11111111112111111112111121"
48,"1111111111211112111"
49,"1111111111211112121"
50,"111111111121111111121111211"
51,"111111111121111211111111111"
52,"111111111121111211111"
53,"11111111112111121111"
54,"11111111112111121211"
55,"111111111121111212111"
56,"1111111111211111111211112111"
57,"11111111112111121111111111"
58,"1111111111211112111111"
59,"1111111111211112111112"
60,"11111111112111111112111121111"
61,"1111111111211112111111111"
62,"1111111111211112111111112"
63,"11111111112111121111111"
64,"11111111112111121111121"
65,"11111111112111121111111121"
66,"111111111121111211111111"
67,"111111111121111211111211"
68,"1111111111211112111112111"
69,"1111111111211112111112111111111111"
70,"11111111112111121111121111"
71,"111111111121111211111211111111111"
72,"11111111112111121111121111111111111"
73,"111111111121111211111211111111111111"
74,"111111111121111211111211111"
75,"11111111112111121111121111111111"
76,"1111111111211112111112111111111111111"
77,"11111111112111121111121111111111111111"
78,"11111111112111121111121111121111"
79,"1111111111211112111112111111"
80,"1111111111211112111112111112"
81,"11111111112111121111121111111"
82,"1111111111211112111112111111111"
83,"1111111111211112111112111111112"
84,"111111111121111211111211111111111111111"
85,"111111111121111211111211111211111"
86,"1111111111211112111112111112111"
87,"1111111111211112111112111112112"
88,"11111111112111121111121111121"
89,"111111111121111211111211111111"
90,"11111111112111121111121111111121"
91,"1111111111211112111112111112111111"
92,"111111111121111211111211111211"
93,"111111111121111211111211111111211"
94,"11111111112111121111121111111121111"
95,"11111111112111121111121111121111111"
96,"1111111111211112111112111111112111"
97,"111111111121111211111211111111211111"
98,"1111111111211112111112111111112111111"
99,"11111111112111121111121111111121111111"
100,"1"
